# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	28231	29121	+							B9J08_00011	891		old_locus_tag=B9J08_001540
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	28231	29121	+			KAK8441699.1	dihydrodipicolinate synthase			B9J08_00011	891		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	28231	29121	+	KAK8441699.1			dihydrodipicolinate synthase			B9J08_00011	891	296	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	30370	31800	+							B9J08_00012	1431		old_locus_tag=B9J08_001541
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	30370	31800	+			KAK8441700.1	hypothetical protein			B9J08_00012	1431		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	30370	31800	+	KAK8441700.1			hypothetical protein			B9J08_00012	1431	476	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	32165	34195	-							B9J08_00013	2031		old_locus_tag=B9J08_001542
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	32165	34195	-			KAK8441701.1	hypothetical protein			B9J08_00013	2031		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	32165	34195	-	KAK8441701.1			hypothetical protein			B9J08_00013	2031	676	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	36154	37053	+							B9J08_00014	900		old_locus_tag=B9J08_001543
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	36154	37053	+			KAK8441702.1	diphthine synthase			B9J08_00014	900		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	36154	37053	+	KAK8441702.1			diphthine synthase			B9J08_00014	900	299	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	37090	38265	-							B9J08_00015	1176		old_locus_tag=B9J08_001544
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	37090	38265	-			KAK8441703.1	hypothetical protein			B9J08_00015	1176		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	37090	38265	-	KAK8441703.1			hypothetical protein			B9J08_00015	1176	391	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	39553	40416	+							B9J08_00016	864		old_locus_tag=B9J08_001545
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	39553	40416	+			KAK8441704.1	hypothetical protein			B9J08_00016	864		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	39553	40416	+	KAK8441704.1			hypothetical protein			B9J08_00016	864	287	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	40529	41707	-							B9J08_00017	1179		old_locus_tag=B9J08_001546
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	40529	41707	-			KAK8441705.1	hypothetical protein			B9J08_00017	1179		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	40529	41707	-	KAK8441705.1			hypothetical protein			B9J08_00017	1179	392	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	42645	44243	-							B9J08_00018	1599		old_locus_tag=B9J08_001547
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	42645	44243	-			KAK8441706.1	hypothetical protein			B9J08_00018	1599		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	42645	44243	-	KAK8441706.1			hypothetical protein			B9J08_00018	1599	532	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	44260	44670	-							B9J08_00019	411		old_locus_tag=B9J08_001548
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	44260	44670	-			KAK8441707.1	hypothetical protein			B9J08_00019	411		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	44260	44670	-	KAK8441707.1			hypothetical protein			B9J08_00019	411	136	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	46980	47438	-							B9J08_00020	459		old_locus_tag=B9J08_001549
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	46980	47438	-			KAK8441708.1	hypothetical protein			B9J08_00020	459		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	46980	47438	-	KAK8441708.1			hypothetical protein			B9J08_00020	459	152	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	48312	50165	-							B9J08_00021	1854		old_locus_tag=B9J08_001550
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	48312	50165	-			KAK8441709.1	hypothetical protein			B9J08_00021	1854		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	48312	50165	-	KAK8441709.1			hypothetical protein			B9J08_00021	1854	617	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	50909	51358	-							B9J08_00022	450		old_locus_tag=B9J08_001551
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	50909	51358	-			KAK8441710.1	hypothetical protein			B9J08_00022	450		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	50909	51358	-	KAK8441710.1			hypothetical protein			B9J08_00022	450	149	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	51964	53340	-							B9J08_00023	1377		old_locus_tag=B9J08_001552
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	51964	53340	-			KAK8441711.1	hypothetical protein			B9J08_00023	1377		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	51964	53340	-	KAK8441711.1			hypothetical protein			B9J08_00023	1377	458	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	53751	54806	-							B9J08_00024	1056		old_locus_tag=B9J08_001553
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	53751	54806	-			KAK8441712.1	hypothetical protein			B9J08_00024	1056		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	53751	54806	-	KAK8441712.1			hypothetical protein			B9J08_00024	1056	351	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	54935	55948	+							B9J08_00025	1014		old_locus_tag=B9J08_001554
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	54935	55948	+			KAK8441713.1	hypothetical protein			B9J08_00025	1014		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	54935	55948	+	KAK8441713.1			hypothetical protein			B9J08_00025	1014	337	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	57075	59435	+							B9J08_00026	2361		old_locus_tag=B9J08_001555
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	57075	59435	+			KAK8441714.1	hypothetical protein			B9J08_00026	2361		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	57075	59435	+	KAK8441714.1			hypothetical protein			B9J08_00026	2361	786	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	59579	60298	+							B9J08_00027	720		old_locus_tag=B9J08_001556
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	59579	60298	+			KAK8441715.1	hypothetical protein			B9J08_00027	720		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	59579	60298	+	KAK8441715.1			hypothetical protein			B9J08_00027	720	239	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	60525	64850	+							B9J08_00028	4326		old_locus_tag=B9J08_001557
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	60525	64850	+			KAK8441716.1	transcription elongation factor SPT6			B9J08_00028	4326		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	60525	64850	+	KAK8441716.1			transcription elongation factor SPT6			B9J08_00028	4326	1441	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	64925	66202	-							B9J08_00029	1278		old_locus_tag=B9J08_001558
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	64925	66202	-			KAK8441717.1	hypothetical protein			B9J08_00029	1278		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	64925	66202	-	KAK8441717.1			hypothetical protein			B9J08_00029	1278	425	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	66505	69378	-							B9J08_00030	2874		old_locus_tag=B9J08_001559
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	66505	69378	-			KAK8441718.1	hypothetical protein			B9J08_00030	2874		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	66505	69378	-	KAK8441718.1			hypothetical protein			B9J08_00030	2874	957	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	70828	72150	-							B9J08_00031	1323		old_locus_tag=B9J08_001560
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	70828	72150	-			KAK8441719.1	hypothetical protein			B9J08_00031	1323		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	70828	72150	-	KAK8441719.1			hypothetical protein			B9J08_00031	1323	440	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	72295	74700	-							B9J08_00032	2406		old_locus_tag=B9J08_001561
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	72295	74700	-			KAK8441720.1	translation initiation factor IF-2			B9J08_00032	2406		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	72295	74700	-	KAK8441720.1			translation initiation factor IF-2			B9J08_00032	2406	801	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	74949	76670	-							B9J08_00033	1722		old_locus_tag=B9J08_001562
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	74949	76670	-			KAK8441721.1	hypothetical protein			B9J08_00033	1722		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	74949	76670	-	KAK8441721.1			hypothetical protein			B9J08_00033	1722	573	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	78040	78453	+							B9J08_00034	414		old_locus_tag=B9J08_001563
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	78040	78453	+			KAK8441722.1	hypothetical protein			B9J08_00034	414		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	78040	78453	+	KAK8441722.1			hypothetical protein			B9J08_00034	414	137	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	78844	79560	-							B9J08_00035	717		old_locus_tag=B9J08_001564
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	78844	79560	-			KAK8441723.1	hypothetical protein			B9J08_00035	717		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	78844	79560	-	KAK8441723.1			hypothetical protein			B9J08_00035	717	238	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	81671	85027	+							B9J08_00036	3357		old_locus_tag=B9J08_001565
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	81671	85027	+			KAK8441724.1	hypothetical protein			B9J08_00036	3357		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	81671	85027	+	KAK8441724.1			hypothetical protein			B9J08_00036	3357	1118	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	86149	89754	+							B9J08_00037	3606		old_locus_tag=B9J08_001566
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	86149	89754	+			KAK8441725.1	hypothetical protein			B9J08_00037	3606		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	86149	89754	+	KAK8441725.1			hypothetical protein			B9J08_00037	3606	1201	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	90817	92448	+							B9J08_00038	1632		old_locus_tag=B9J08_001567
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	90817	92448	+			KAK8441726.1	hypothetical protein			B9J08_00038	1632		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	90817	92448	+	KAK8441726.1			hypothetical protein			B9J08_00038	1632	543	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	92815	93243	+							B9J08_00039	429		old_locus_tag=B9J08_001568
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	92815	93243	+			KAK8441727.1	hypothetical protein			B9J08_00039	429		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	92815	93243	+	KAK8441727.1			hypothetical protein			B9J08_00039	429	142	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	94782	95342	+							B9J08_00040	561		old_locus_tag=B9J08_001569
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	94782	95342	+			KAK8441728.1	hypothetical protein			B9J08_00040	561		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	94782	95342	+	KAK8441728.1			hypothetical protein			B9J08_00040	561	186	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	96595	97752	+							B9J08_00041	1158		old_locus_tag=B9J08_001570
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	96595	97752	+			KAK8441729.1	hypothetical protein			B9J08_00041	1158		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	96595	97752	+	KAK8441729.1			hypothetical protein			B9J08_00041	1158	385	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	98076	99233	+							B9J08_00042	1158		old_locus_tag=B9J08_001571
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	98076	99233	+			KAK8441730.1	hypothetical protein			B9J08_00042	1158		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	98076	99233	+	KAK8441730.1			hypothetical protein			B9J08_00042	1158	385	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	99386	103410	-							B9J08_00043	4025		old_locus_tag=B9J08_001572
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	99386	103410	-			KAK8441731.1	hypothetical protein			B9J08_00043	3978		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	99386	103410	-	KAK8441731.1			hypothetical protein			B9J08_00043	3978	1325	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	105179	105769	+							B9J08_00044	591		old_locus_tag=B9J08_001573
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	105179	105769	+			KAK8441732.1	H/ACA ribonucleoprotein complex subunit 1			B9J08_00044	591		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	105179	105769	+	KAK8441732.1			H/ACA ribonucleoprotein complex subunit 1			B9J08_00044	591	196	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	105895	107040	-							B9J08_00045	1146		old_locus_tag=B9J08_001574
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	105895	107040	-			KAK8441733.1	hypothetical protein			B9J08_00045	1146		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	105895	107040	-	KAK8441733.1			hypothetical protein			B9J08_00045	1146	381	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	107377	107869	+							B9J08_00046	493		old_locus_tag=B9J08_001575
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	107377	107869	+			KAK8441734.1	hypothetical protein			B9J08_00046	447		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	107377	107869	+	KAK8441734.1			hypothetical protein			B9J08_00046	447	148	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	108933	114005	+							B9J08_00047	5073		old_locus_tag=B9J08_001576
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	108933	114005	+			KAK8441735.1	hypothetical protein			B9J08_00047	5073		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	108933	114005	+	KAK8441735.1			hypothetical protein			B9J08_00047	5073	1690	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	114137	114784	+							B9J08_00048	648		old_locus_tag=B9J08_001577
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	114137	114784	+			KAK8441736.1	hypothetical protein			B9J08_00048	648		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	114137	114784	+	KAK8441736.1			hypothetical protein			B9J08_00048	648	215	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	114824	116347	-							B9J08_00049	1524		old_locus_tag=B9J08_001578
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	114824	116347	-			KAK8441737.1	homoserine O-acetyltransferase			B9J08_00049	1524		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	114824	116347	-	KAK8441737.1			homoserine O-acetyltransferase			B9J08_00049	1524	507	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	117708	118490	+							B9J08_00050	783		old_locus_tag=B9J08_001579
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	117708	118490	+			KAK8441738.1	hypothetical protein			B9J08_00050	783		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	117708	118490	+	KAK8441738.1			hypothetical protein			B9J08_00050	783	260	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	118603	119646	-							B9J08_00051	1044		old_locus_tag=B9J08_001580
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	118603	119646	-			KAK8441739.1	hypothetical protein			B9J08_00051	1044		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	118603	119646	-	KAK8441739.1			hypothetical protein			B9J08_00051	1044	347	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	120463	123801	-							B9J08_00052	3339		old_locus_tag=B9J08_001581
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	120463	123801	-			KAK8441740.1	hypothetical protein			B9J08_00052	3339		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	120463	123801	-	KAK8441740.1			hypothetical protein			B9J08_00052	3339	1112	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	126020	126928	+							B9J08_00053	909		old_locus_tag=B9J08_001582
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	126020	126928	+			KAK8441741.1	hypothetical protein			B9J08_00053	909		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	126020	126928	+	KAK8441741.1			hypothetical protein			B9J08_00053	909	302	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	129941	130291	-							B9J08_00054	351		old_locus_tag=B9J08_001584
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	129941	130291	-			KAK8441742.1	hypothetical protein			B9J08_00054	300		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	129941	130291	-	KAK8441742.1			hypothetical protein			B9J08_00054	300	99	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	131133	134120	-							B9J08_00055	2988		old_locus_tag=B9J08_001585
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	131133	134120	-			KAK8441743.1	hypothetical protein			B9J08_00055	2988		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	131133	134120	-	KAK8441743.1			hypothetical protein			B9J08_00055	2988	995	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	134467	136893	-							B9J08_00056	2427		old_locus_tag=B9J08_001586
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	134467	136893	-			KAK8441744.1	hypothetical protein			B9J08_00056	2427		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	134467	136893	-	KAK8441744.1			hypothetical protein			B9J08_00056	2427	808	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	137028	138815	+							B9J08_00057	1788		old_locus_tag=B9J08_001587
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	137028	138815	+			KAK8441745.1	hypothetical protein			B9J08_00057	1788		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	137028	138815	+	KAK8441745.1			hypothetical protein			B9J08_00057	1788	595	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	139311	140879	+							B9J08_00058	1569		old_locus_tag=B9J08_001588
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	139311	140879	+			KAK8441746.1	hypothetical protein			B9J08_00058	1569		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	139311	140879	+	KAK8441746.1			hypothetical protein			B9J08_00058	1569	522	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	141574	142578	+							B9J08_00059	1005		old_locus_tag=B9J08_001589
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	141574	142578	+			KAK8441747.1	hypothetical protein			B9J08_00059	1005		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	141574	142578	+	KAK8441747.1			hypothetical protein			B9J08_00059	1005	334	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	142611	143444	-							B9J08_00060	834		old_locus_tag=B9J08_001590
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	142611	143444	-			KAK8441748.1	hypothetical protein			B9J08_00060	834		
