Gene_ID,LFC,FDR,Gene_Name,Description
B9J08_002012,2.029473547,0.000299444,,"Ortholog of C. albicans SC5314 : C1_01220C_A, C. dubliniensis CD36 : Cd36_01140, Candida tenuis NRRL Y-1498 : CANTEDRAFT_114214 and Debaryomyces hansenii CBS767 : DEHA2D14784g"
B9J08_004628,2.005229378,9.83e-05,,"Ortholog(s) have double-stranded DNA binding, single-stranded DNA endodeoxyribonuclease activity"
B9J08_001552,1.985906968,0.00931954,,Protein of unknown function
B9J08_004365,1.915348634,0.000148015,,"Ortholog(s) have succinate:fumarate antiporter activity and role in fumarate transport, succinate transport"
B9J08_002668,1.901935076,0.000319323,,"Has domain(s) with predicted heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors and with incorporation or reduction of molecular oxygen, more"
B9J08_002261,1.88528793,0.001288448,,"Ortholog(s) have role in eisosome assembly, negative regulation of protein phosphorylation, plasma membrane organization, protein localization to plasma membrane and protein secretion, more"
B9J08_005380,1.867264086,4.15e-05,,"Ortholog(s) have role in ascospore formation, endocytosis, protein localization to eisosome filament and cell cortex, eisosome, plasma membrane localization"
B9J08_002166,1.864983413,1.07e-06,,"Ortholog of S. cerevisiae : YNL115C, C. albicans SC5314 : C6_00250W_A, C. glabrata CBS138 : CAGL0L03938g, C. dubliniensis CD36 : Cd36_60200 and C. parapsilosis CDC317 : CPAR2_603320"
B9J08_000388,1.855629002,1.32e-07,,"Ortholog(s) have DNA-binding transcription factor activity, role in meiotic cell cycle, positive regulation of transcription by RNA polymerase II and nuclear chromosome localization"
B9J08_004148,1.83859351,0.000449841,,"Ortholog of C. albicans SC5314 : C1_13080W_A/OP4, C. dubliniensis CD36 : Cd36_12150, C. parapsilosis CDC317 : CPAR2_801850 and Candida tenuis NRRL Y-1498 : cten_CGOB_00178"
B9J08_002239,1.83719299,9.46e-11,,"Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and membrane localization"
B9J08_004477,1.833153457,1.25e-08,,"Has domain(s) with predicted hydrolase activity, hydrolyzing O-glycosyl compounds activity and role in organic substance metabolic process"
B9J08_004905,1.826470329,0.001064084,,"Ortholog(s) have delta(3)-delta(2)-enoyl-CoA isomerase activity, role in fatty acid beta-oxidation and peroxisome localization"
B9J08_004324,1.807221971,1.4e-11,,Has domain(s) with predicted role in transmembrane transport and membrane localization
B9J08_002825,1.804897175,1.21e-10,,Ortholog of Candida tenuis NRRL Y-1498 : CANTEDRAFT_115096
B9J08_004167,1.803291155,0.003690302,,"Ortholog(s) have DNA-binding transcription activator activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding activity"
B9J08_004840,1.797889194,0.002113655,,"Ortholog(s) have cytoplasm, eisosome localization"
B9J08_000592,1.79647397,0.000319323,,"Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of DNA-templated transcription"
B9J08_003109,1.784507901,1.32e-08,,"Ortholog of C. albicans SC5314 : C5_03430W_A, C. dubliniensis CD36 : Cd36_53200, C. parapsilosis CDC317 : CPAR2_502060 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_115234"
B9J08_005394,1.779222383,0.000319119,,"Ortholog of Candida tenuis NRRL Y-1498 : CANTEDRAFT_115648, Debaryomyces hansenii CBS767 : DEHA2E18194g, Pichia stipitis Pignal : PICST_37102 and Candida guilliermondii ATCC 6260 : PGUG_01260"
B9J08_000581,1.775123218,9.82e-05,,"Has domain(s) with predicted flavin adenine dinucleotide binding, long-chain-alcohol oxidase activity, oxidoreductase activity, acting on CH-OH group of donors activity"
B9J08_000849,1.764802145,2.03e-08,,"Ortholog of C. albicans SC5314 : CR_08890C_A/ASR2, C. parapsilosis CDC317 : CPAR2_201370, Candida tenuis NRRL Y-1498 : CANTEDRAFT_99098 and Debaryomyces hansenii CBS767 : DEHA2C13398g"
B9J08_002624,1.763382585,0.000336098,,Protein of unknown function
B9J08_003514,1.73567433,3.49e-08,,"Ortholog(s) have O-acetylhomoserine aminocarboxypropyltransferase activity, cysteine synthase activity and role in L-homocysteine biosynthetic process, cysteine biosynthetic process from serine, methionine metabolic process"
B9J08_001956,1.732207345,0.004479198,,"Ortholog(s) have 2,4-dienoyl-CoA reductase (NADPH) activity, role in ascospore formation, fatty acid catabolic process and peroxisomal matrix localization"
B9J08_000594,1.722071303,2.06e-06,,Has domain(s) with predicted phosphatidylinositol binding activity
B9J08_000398,1.717495093,1.28e-06,SAP7,"Putative aspartic-type endopeptidase; appears to play a minor role, if any; null mutant shows normal secretion of aspartyl protease and normal formation of biofilms and hyphae"
B9J08_001551,1.708787881,0.008941127,,Protein of unknown function
B9J08_001613,1.707778924,0.003002376,,"Has domain(s) with predicted hydrolase activity, nucleotidase activity"
B9J08_000007,1.691857119,0.001027136,,Ortholog of Candida lusitaniae ATCC 42720 : CLUG_01211
B9J08_001538,1.683834749,0.000164436,,Protein of unknown function
B9J08_001323,1.679460215,0.000239545,,"Ortholog(s) have SNAP receptor activity and role in Golgi to vacuole transport, intra-Golgi vesicle-mediated transport, macroautophagy, vacuole fusion, non-autophagic, vesicle fusion"
B9J08_002707,1.67784082,9.59e-05,,"Ortholog(s) have sterol 3-beta-glucosyltransferase activity and role in ascospore-type prospore membrane formation, sterol metabolic process"
B9J08_003466,1.668693237,0.009113028,,"Ortholog(s) have L-malate dehydrogenase activity, mRNA binding activity, role in NADH regeneration, fatty acid beta-oxidation and peroxisomal matrix, peroxisome localization"
B9J08_004892,1.66375017,6.01e-08,,Protein of unknown function
B9J08_004831,1.662637549,0.000973383,,"Ortholog of C. albicans SC5314 : C3_06470W_A/AAF1, C. dubliniensis CD36 : Cd36_86430, C. parapsilosis CDC317 : CPAR2_404190 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_114929"
B9J08_003167,1.661568244,8.31e-05,,"Ortholog(s) have 4-hydroxybenzaldehyde dehydrogenase activity, carboxylate reductase activity"
B9J08_002423,1.647947837,0.006648706,,"Ortholog(s) have DNA-binding transcription activator activity, RNA polymerase II-specific, sequence-specific DNA binding, transcription cis-regulatory region binding activity"
B9J08_001225,1.645973337,0.000393969,,"Ortholog(s) have role in intracellular phosphate ion homeostasis, polyphosphate biosynthetic process and fungal-type vacuole membrane, vacuolar transporter chaperone complex localization"
B9J08_005163,1.636878535,5.78e-07,,"Ortholog(s) have fructose 1,6-bisphosphate 1-phosphatase activity, role in cellular response to glucose starvation, gluconeogenesis, reactive oxygen species metabolic process and cytosol, periplasmic space localization"
B9J08_004445,1.629822546,2.66e-21,,"Ortholog(s) have deoxyribodipyrimidine photo-lyase activity, mRNA binding activity"
B9J08_003223,1.626887784,0.00643028,,"Ortholog of C. albicans SC5314 : C4_05580C_A, C. dubliniensis CD36 : Cd36_45180, C. parapsilosis CDC317 : CPAR2_500500 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_113522"
B9J08_004878,1.605949679,0.001064846,,"Ortholog(s) have ammonium transmembrane transporter activity, high-affinity secondary active ammonium transmembrane transporter activity"
B9J08_002240,1.604067237,4.1e-06,,"Has domain(s) with predicted hydrolase activity, hydrolyzing O-glycosyl compounds activity and role in carbohydrate metabolic process"
B9J08_004545,1.595640047,6.36e-09,,Has domain(s) with predicted oligopeptide transmembrane transporter activity and role in transmembrane transport
B9J08_001588,1.594240477,0.001285205,,"Has domain(s) with predicted heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors and with incorporation or reduction of molecular oxygen, more"
B9J08_002734,1.584046947,0.005322676,,Protein of unknown function
B9J08_000792,1.567479605,2.37e-05,,Has domain(s) with predicted catalytic activity
B9J08_000017,1.556398803,0.007557721,,"Ortholog(s) have hydrolase activity, acting on ester bonds, triglyceride lipase activity, role in lipid homeostasis and lipid droplet localization"
B9J08_003007,1.544645383,0.006038842,,"Ortholog of C. parapsilosis CDC317 : CPAR2_600360, Candida tenuis NRRL Y-1498 : CANTEDRAFT_117968, Debaryomyces hansenii CBS767 : DEHA2E01584g and Pichia stipitis Pignal : PICST_82544"
B9J08_003454,1.542102818,0.003117831,,"Has domain(s) with predicted DNA binding, methyltransferase activity, zinc ion binding activity and role in DNA repair, regulation of DNA-templated transcription"
B9J08_001255,1.54170909,1.46e-07,,"Ortholog(s) have dextrin alpha-glucosidase activity, maltose alpha-glucosidase activity, oligo-1,6-glucosidase activity, starch alpha-glucosidase activity, sucrose alpha-glucosidase activity and role in disaccharide catabolic process"
B9J08_002735,1.539355861,0.008038017,,Has domain(s) with predicted role in deadenylation-independent decapping of nuclear-transcribed mRNA
B9J08_003374,1.530226507,0.000143968,,"Ortholog(s) have isocitrate lyase activity, role in glyoxylate cycle and cytoplasm localization"
B9J08_000030,1.521147411,5.77e-06,,"Ortholog of C. albicans SC5314 : CR_00310C_A, C. dubliniensis CD36 : Cd36_25350, C. parapsilosis CDC317 : CPAR2_800410 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_114085"
B9J08_001181,1.517429093,0.002233344,,"Ortholog(s) have phosphatidic acid binding, transcription corepressor activity"
B9J08_002560,1.509810326,3.46e-05,,"Ortholog(s) have lipase activity, structural constituent of cell wall activity, role in fungal-type cell wall organization and fungal-type cell wall localization"
B9J08_002773,1.506839098,0.00579765,,Protein of unknown function
B9J08_003462,1.501982437,0.001870644,,"Ortholog(s) have peroxisome matrix targeting signal-1 binding, protein carrier chaperone, protein-macromolecule adaptor activity and role in protein import into peroxisome matrix, protein import into peroxisome matrix, docking"
B9J08_000829,1.489677831,0.00426955,,"Ortholog of S. cerevisiae : YGR067C, C. albicans SC5314 : C6_01500C_A/TRY5, C. glabrata CBS138 : CAGL0K04631g, C. dubliniensis CD36 : Cd36_61610 and C. parapsilosis CDC317 : CPAR2_602450"
B9J08_005080,1.48179137,0.00097909,,"Ortholog of Candida tenuis NRRL Y-1498 : CANTEDRAFT_113685, Debaryomyces hansenii CBS767 : DEHA2D03938g and Candida lusitaniae ATCC 42720 : CLUG_02430"
B9J08_002255,1.479092963,0.000934143,,Protein of unknown function
B9J08_004104,1.467950744,0.000894896,,Protein of unknown function
B9J08_000501,1.45714685,0.005530004,,Has domain(s) with predicted calcium-activated cation channel activity and membrane localization
B9J08_004637,1.455691341,0.001392336,,Protein of unknown function
B9J08_002652,1.446867331,8.68e-07,,"Ortholog(s) have citrate (Si)-synthase activity, role in acetyl-CoA catabolic process, citrate metabolic process, tricarboxylic acid cycle and mitochondrion localization"
B9J08_002165,1.445820057,0.000148015,,"Ortholog(s) have SNAP receptor activity, phosphatidylinositol-3-phosphate binding activity"
B9J08_001831,1.435245935,0.001784598,,"Ortholog of C. albicans SC5314 : C1_05950C_A, C. dubliniensis CD36 : Cd36_05610, C. parapsilosis CDC317 : CPAR2_103700 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_95139"
B9J08_000474,1.432039859,0.002513741,,Ortholog(s) have plasma membrane localization
B9J08_003392,1.422306814,0.00024047,,Has domain(s) with predicted membrane localization
B9J08_000847,1.421952238,0.006784144,,"Ortholog(s) have protein kinase activity, pyruvate dehydrogenase (acetyl-transferring) kinase activity, role in protein-containing complex assembly, regulation of mitophagy and mitochondrion localization"
B9J08_002201,1.416522057,0.000805119,,"Ortholog(s) have role in iron-sulfur cluster assembly, protein maturation by [4Fe-4S] cluster transfer, protein maturation by iron-sulfur cluster transfer and mitochondrial matrix localization"
B9J08_000925,1.416370167,0.000484197,,"Ortholog(s) have armadillo repeat domain binding, protein kinase regulator activity"
B9J08_001235,1.415491933,0.000771486,,"Ortholog of C. albicans SC5314 : C1_11850W_A, C. dubliniensis CD36 : Cd36_11100, C. parapsilosis CDC317 : CPAR2_203550 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_113695"
B9J08_005147,1.408937939,0.001643155,,"Ortholog of C. parapsilosis CDC317 : CPAR2_107030, Candida tenuis NRRL Y-1498 : CANTEDRAFT_95488, Debaryomyces hansenii CBS767 : DEHA2D16654g and Candida guilliermondii ATCC 6260 : PGUG_00622"
B9J08_002027,1.405541296,0.000306871,,"Ortholog(s) have DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding, more"
B9J08_004877,1.395486403,0.008598315,,"Ortholog of C. parapsilosis CDC317 : CPAR2_500580, Candida tenuis NRRL Y-1498 : CANTEDRAFT_114095, Debaryomyces hansenii CBS767 : DEHA2D03256g and Pichia stipitis Pignal : PICST_86494"
B9J08_004458,1.386041936,0.000162083,,"Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of DNA-templated transcription"
B9J08_005081,1.382096582,3.74e-05,,"Ortholog(s) have phosphatidylethanolamine binding, protein tag activity"
B9J08_002256,1.374025612,6.48e-06,,Protein of unknown function
B9J08_002628,1.37311386,0.002790871,,"Ortholog(s) have DNA-binding transcription activator activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding activity"
B9J08_004351,1.372323598,0.009158636,,"Ortholog(s) have RNA endonuclease activity, role in RNA catabolic process, apoptotic process, cell morphogenesis and cytosol, extracellular region, fungal-type vacuole, vacuole localization"
B9J08_003258,1.370250439,2.34e-11,,"Ortholog(s) have SNARE binding, molecular adaptor activity, protein kinase activator activity"
B9J08_003969,1.36947042,0.007810161,,"Has domain(s) with predicted DASH complex, mitotic spindle localization"
B9J08_004027,1.366286944,0.005614242,,"Ortholog of S. cerevisiae : MIT1, C. albicans SC5314 : C1_10150W_A/WOR1, C. glabrata CBS138 : CAGL0L02453g, C. dubliniensis CD36 : Cd36_09540 and C. parapsilosis CDC317 : CPAR2_805000"
B9J08_003912,1.361620139,3.86e-10,,Has domain(s) with predicted aspartic-type endopeptidase activity and role in proteolysis
B9J08_003750,1.358237911,0.000107365,,"Ortholog of C. albicans SC5314 : C3_04630W_A, C. dubliniensis CD36 : Cd36_84580, C. parapsilosis CDC317 : CPAR2_404290 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_115338"
B9J08_000928,1.351057419,6.18e-05,,"Ortholog(s) have water channel activity, role in ascospore formation, transmembrane transport, water transport and plasma membrane localization"
B9J08_004366,1.349407636,0.000864672,,Protein of unknown function
B9J08_001291,1.348252744,0.000144145,,"Ortholog(s) have sterol esterase activity, role in cellular lipid metabolic process, sterol metabolic process and lipid droplet, membrane localization"
B9J08_000010,1.348217905,0.004561642,,"Ortholog(s) have carnitine O-acetyltransferase activity, role in carnitine metabolic process and mitochondrion, peroxisome localization"
B9J08_004940,1.341791862,1.32e-07,,Ortholog of Candida guilliermondii ATCC 6260 : PGUG_04694 and Candida lusitaniae ATCC 42720 : CLUG_00973
B9J08_000995,1.339178093,0.001518894,,"Ortholog(s) have sulfate transmembrane transporter activity, role in sulfate transport, transmembrane transport and plasma membrane localization"
B9J08_000591,1.338872988,2.66e-06,,Has domain(s) with predicted calcium-activated cation channel activity and membrane localization
B9J08_003694,1.334458586,2.6e-05,,"Ortholog of C. albicans SC5314 : C1_05520W_A, C. dubliniensis CD36 : Cd36_05240, C. parapsilosis CDC317 : CPAR2_107620 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_133479"
B9J08_002334,1.33277781,0.000742306,,"Ortholog of C. albicans SC5314 : C2_06990W_A, C. dubliniensis CD36 : Cd36_21280, C. parapsilosis CDC317 : CPAR2_406680, Debaryomyces hansenii CBS767 : DEHA2D07612g and Pichia stipitis Pignal : PICST_62360"
B9J08_003909,1.329375075,0.003026064,,Protein of unknown function
B9J08_003019,1.320976477,2.88e-06,,"Ortholog(s) have lysophosphatidylethanolamine acyltransferase activity, triglyceride lipase activity and role in cell budding, cellular lipid metabolic process, triglyceride catabolic process, triglyceride mobilization"
B9J08_004367,1.315577686,0.0034235,,Has domain(s) with predicted nucleic acid binding activity
B9J08_005002,1.304963101,1.45e-07,,Has domain(s) with predicted actin filament binding activity and role in actin cytoskeleton organization
B9J08_001352,1.299671292,0.0028335,,Ortholog(s) have role in peroxisome organization and peroxisomal membrane localization
B9J08_005199,1.299319137,8.68e-07,,"Ortholog(s) have transcription coactivator activity and role in positive regulation of transcription by RNA polymerase II, response to arsenic-containing substance, response to cadmium ion, sulfur amino acid metabolic process"
B9J08_004934,1.293572647,0.006492683,,"Ortholog(s) have role in chromosome segregation and MIS12/MIND type complex, condensed chromosome, centromeric region, kinetochore, spindle pole localization"
B9J08_004479,1.291279426,2.74e-07,,Has domain(s) with predicted oligopeptide transmembrane transporter activity and role in transmembrane transport
B9J08_001968,1.278800312,0.009064884,,"Has domain(s) with predicted oxidoreductase activity, oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor activity and role in cellular aldehyde metabolic process"
B9J08_000873,1.274521382,0.009850894,,"Ortholog(s) have RNA binding activity, role in mRNA processing and cytosol, mRNA cleavage and polyadenylation specificity factor complex, nucleus localization"
B9J08_000292,1.274437913,0.000157798,,"Ortholog of C. albicans SC5314 : C1_08530W_A, C. dubliniensis CD36 : Cd36_08040, C. parapsilosis CDC317 : CPAR2_207180 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_114140"
B9J08_003280,1.268298455,0.000662188,,Ortholog(s) have RNA polymerase II-specific DNA-binding transcription factor binding activity
B9J08_003397,1.267915606,0.006202484,,"Ortholog(s) have alpha,alpha-trehalase activity, role in trehalose catabolic process, trehalose transport and cell wall-bounded periplasmic space, fungal-type cell wall, fungal-type vacuole localization"
B9J08_001889,1.264981697,0.004561642,,"Ortholog(s) have carnitine:acyl carnitine antiporter activity, role in fatty acid metabolic process and mitochondrial inner membrane localization"
B9J08_003448,1.26239266,0.000201106,,"Ortholog(s) have DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II-specific DNA-binding transcription factor binding, cis-regulatory region sequence-specific DNA binding activity"
B9J08_002576,1.258610252,0.000104979,,"Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of DNA-templated transcription"
B9J08_002351,1.257597594,1.23e-06,,Ortholog(s) have sulfate adenylyltransferase (ATP) activity
B9J08_002669,1.257299921,0.006648706,,Ortholog(s) have phosphoenolpyruvate carboxykinase (ATP) activity and cytosol localization
B9J08_000905,1.251078542,0.003975831,,"Ortholog of C. albicans SC5314 : C3_05450C_A, C. dubliniensis CD36 : Cd36_85440, C. parapsilosis CDC317 : CPAR2_405750 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_116050"
B9J08_003689,1.245533059,0.002204882,,"Ortholog(s) have phosphatidylinositol-3-phosphate binding, ubiquitin protein ligase activity, ubiquitin-protein transferase activity"
B9J08_001371,1.245010872,0.003447911,,Ortholog(s) have RNA polymerase II cis-regulatory region sequence-specific DNA binding activity
B9J08_003709,1.241074103,0.004802379,,"Has domain(s) with predicted N,N-dimethylaniline monooxygenase activity, NADP binding, flavin adenine dinucleotide binding activity"
B9J08_000615,1.240361827,0.001701802,,"Ortholog of S. cerevisiae : YDR262W, C. albicans SC5314 : C1_03120W_A, C. glabrata CBS138 : CAGL0M08734g, C. dubliniensis CD36 : Cd36_02920 and C. parapsilosis CDC317 : CPAR2_108490"
B9J08_002886,1.233352339,0.000319323,,Ortholog(s) have role in intracellular phosphate ion homeostasis
B9J08_003186,1.225429528,0.00574311,,Has domain(s) with predicted acyl-CoA hydrolase activity and role in acyl-CoA metabolic process
B9J08_002330,1.211410784,0.000228867,,Ortholog of Candida lusitaniae ATCC 42720 : CLUG_04267
B9J08_002279,1.209253555,1.59e-06,,Ortholog(s) have DNA-binding transcription factor activity and role in regulation of transcription by RNA polymerase II
B9J08_002149,1.180406083,0.000189404,,Ortholog(s) have role in fungal-type cell wall organization
B9J08_001834,1.180190254,0.005322676,,"Ortholog(s) have spermidine transmembrane transporter activity, spermine transmembrane transporter activity, role in spermidine transport, spermine transport and fungal-type vacuole membrane, plasma membrane localization"
B9J08_003564,1.170491127,0.006723786,,"Ortholog(s) have role in cellular response to glucose starvation, protein localization to eisosome filament and eisosome localization"
B9J08_000397,1.167505209,0.000106689,,"Ortholog(s) have role in fatty acid oxidation, peroxisome fission and endoplasmic reticulum, peroxisomal importomer complex, peroxisomal membrane localization"
B9J08_004971,1.161945383,0.00932734,,Protein of unknown function
B9J08_003337,1.16151282,0.000485908,,Protein of unknown function
B9J08_000690,1.159640301,0.001675652,,Ortholog(s) have role in endocytosis and actin cortical patch localization
B9J08_002577,1.158977743,5.76e-07,,"Has domain(s) with predicted hydrolase activity, hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines activity"
B9J08_002763,1.158379483,0.0034235,,"Ortholog(s) have long-chain fatty acid-CoA ligase activity, myristoyl-CoA ligase activity, oleoyl-CoA ligase activity, palmitoyl-CoA ligase activity"
B9J08_000348,1.153755243,2.82e-05,,"Ortholog(s) have DNA-binding transcription repressor activity, RNA polymerase II-specific, sequence-specific DNA binding activity"
B9J08_001132,1.153198487,7.03e-06,,Ortholog(s) have role in nonfunctional rRNA decay and cytoplasm localization
B9J08_003955,1.1527933,0.001875789,,"Ortholog of C. albicans SC5314 : C3_04580C_A/STP1, C. dubliniensis CD36 : Cd36_84540, C. parapsilosis CDC317 : CPAR2_805900 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_115344"
B9J08_004551,1.149526839,0.007458497,,"Has domain(s) with predicted serine-type endopeptidase activity, serine-type peptidase activity and role in proteolysis"
B9J08_003227,1.148941738,0.003045368,,"Ortholog(s) have DNA-binding transcription factor activity, sequence-specific DNA binding activity, role in positive regulation of transcription by RNA polymerase II and nucleus localization"
B9J08_000043,1.148308091,0.005530004,,"Ortholog of S. cerevisiae : YML020W, C. albicans SC5314 : C3_06290W_A, C. glabrata CBS138 : CAGL0G07062g, C. dubliniensis CD36 : Cd36_86190 and C. parapsilosis CDC317 : CPAR2_404740"
B9J08_001721,1.145112246,6.36e-09,,"Ortholog of C. albicans SC5314 : C1_12140W_A, C. dubliniensis CD36 : Cd36_11370, C. parapsilosis CDC317 : CPAR2_207480 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_120384"
B9J08_000032,1.140238408,0.002943238,,"Ortholog(s) have ATPase-coupled transmembrane transporter activity, role in ATP transport, fatty acid transport and peroxisomal membrane, peroxisome localization"
B9J08_004135,1.133536067,0.002790871,,Has domain(s) with predicted role in regulation of DNA-templated transcription
B9J08_005107,1.128255748,0.000914825,,"Ortholog(s) have DNA-binding transcription activator activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding activity"
B9J08_002842,1.121847349,0.00494526,,Ortholog(s) have role in eisosome assembly and eisosome localization
B9J08_004316,1.120148103,0.003900001,,Ortholog(s) have cytoplasm localization
B9J08_001041,1.113519943,0.007376237,,Has domain(s) with predicted role in peroxisome fission and peroxisomal membrane localization
B9J08_004524,1.111695308,0.009624024,,Ortholog(s) have guanyl nucleotide binding activity and role in Golgi organization
B9J08_000814,1.106923919,0.003782439,,"Ortholog(s) have GTPase activator activity, role in vesicle-mediated transport and cytoplasm, peroxisome localization"
B9J08_005255,1.105090148,0.0034235,,"Ortholog(s) have chromatin binding activity, role in DNA damage response, regulation of gene expression and chromatin, nucleus localization"
